sample,step,layer,module,mean,max,p99,p999,p9999,top001_mean,massive_score_1,massive_score_2
sample_00000,0,1,ff_out_INPUT,0.006002599373459816,6.546875,0.060516357421875,0.2108154296875,0.65283203125,0.4032689332962036,10.028421686326045,1090.6715051201936
sample_00000,0,8,ff_out_INPUT,0.0389895923435688,14.7890625,0.234375,0.69140625,2.005859375,1.2443541288375854,7.372930829844785,379.3078567378465
sample_00000,0,16,ff_out_INPUT,0.10671629011631012,31.03125,0.61572265625,1.89453125,4.49609375,3.010424852371216,6.901824485083692,290.7826636247606
sample_00000,0,23,ff_out_INPUT,0.16335099935531616,41.0,1.0400390625,3.169921875,8.0390625,5.224209785461426,5.10009717538569,250.9932455380061
sample_00000,0,27,ff_out_INPUT,0.2270316332578659,147.5,1.7783203125,6.640625,18.71875,11.83183479309082,7.879799661900607,649.6891705640668
sample_00000,0,31,ff_out_INPUT,0.6645764708518982,495.75,8.703125,27.828125,50.78125,38.213043212890625,9.762461536539085,745.9638044435679
sample_00000,4,1,ff_out_INPUT,0.006024657748639584,6.546875,0.060638427734375,0.2109375,0.6552734375,0.40438464283943176,9.991057969734078,1086.6781826231554
sample_00000,4,8,ff_out_INPUT,0.038868874311447144,14.796875,0.2337646484375,0.6884765625,1.9990234375,1.2402126789093018,7.402051746068877,380.68689807086184
sample_00000,4,16,ff_out_INPUT,0.10647454112768173,31.0,0.61328125,1.8857421875,4.48046875,3.004411220550537,6.918918903476519,291.1493842582679
sample_00000,4,23,ff_out_INPUT,0.16374477744102478,42.625,1.0458984375,3.169921875,8.046875,5.234918117523193,5.297087372057988,260.31362992456815
sample_00000,4,27,ff_out_INPUT,0.22276608645915985,125.4375,1.7353515625,6.4453125,17.46875,11.289841651916504,7.180679781220362,563.0906228273237
sample_00000,4,31,ff_out_INPUT,0.6458621621131897,486.25,8.4609375,26.71875,48.65625,36.756011962890625,9.993577390367408,752.8696074722005
sample_00000,16,1,ff_out_INPUT,0.006056125275790691,6.56640625,0.060821533203125,0.2110595703125,0.6611328125,0.4056418240070343,9.932053025547676,1084.2568653063463
sample_00000,16,8,ff_out_INPUT,0.03887678682804108,14.7421875,0.2330322265625,0.6865234375,1.9853515625,1.2349187135696411,7.425479549416178,379.20273023539704
sample_00000,16,16,ff_out_INPUT,0.10638086497783661,30.734375,0.61279296875,1.8857421875,4.51953125,3.01223087310791,6.800345706647463,288.9088382324661
sample_00000,16,23,ff_out_INPUT,0.16337132453918457,44.34375,1.0478515625,3.169921875,7.97265625,5.210032939910889,5.561979414875714,271.4291961014995
sample_00000,16,27,ff_out_INPUT,0.22225041687488556,123.3125,1.736328125,6.4609375,17.515625,11.272076606750488,7.04014272568627,554.8358297166195
sample_00000,16,31,ff_out_INPUT,0.645272433757782,483.5,8.4140625,26.4375,48.1875,36.59511947631836,10.033722436309473,749.2959054384987
sample_00000,32,1,ff_out_INPUT,0.006090216804295778,6.58984375,0.06109619140625,0.2109375,0.65869140625,0.4063940644264221,10.004447587182293,1082.035852154441
sample_00000,32,8,ff_out_INPUT,0.03886962682008743,14.7421875,0.232177734375,0.68408203125,1.9814453125,1.2304081916809082,7.440118247320449,379.2725815328788
sample_00000,32,16,ff_out_INPUT,0.10583390295505524,29.765625,0.60693359375,1.8681640625,4.51953125,2.9880919456481934,6.585998256819226,281.2484596751199
sample_00000,32,23,ff_out_INPUT,0.16378842294216156,44.28125,1.05078125,3.173828125,8.0234375,5.246021270751953,5.518987334893569,270.3563933335695
sample_00000,32,27,ff_out_INPUT,0.22255954146385193,121.1875,1.7421875,6.4375,17.5625,11.229576110839844,6.900355867957092,544.5171829423068
sample_00000,32,31,ff_out_INPUT,0.6434584259986877,483.0,8.359375,26.09375,47.75,36.35071563720703,10.115183243954935,750.6312342464728
sample_00000,63,1,ff_out_INPUT,0.0061509576626122,6.77734375,0.061676025390625,0.2108154296875,0.65869140625,0.40574124455451965,10.289102883083151,1101.833747427277
sample_00000,63,8,ff_out_INPUT,0.038072872906923294,14.6953125,0.2293701171875,0.67333984375,1.951171875,1.214626669883728,7.5315314929314905,385.9784544271471
sample_00000,63,16,ff_out_INPUT,0.10405273735523224,29.9375,0.59326171875,1.7958984375,4.37109375,2.8834547996520996,6.848972281024692,287.71465204848926
sample_00000,63,23,ff_out_INPUT,0.16533614695072174,48.5,1.068359375,3.193359375,7.93359375,5.221073627471924,6.113244699335349,293.34176440580615
sample_00000,63,27,ff_out_INPUT,0.22852817177772522,123.75,1.818359375,6.54296875,17.09375,11.189749717712402,7.2394881127666615,541.508706004425
sample_00000,63,31,ff_out_INPUT,0.6543766260147095,496.0,8.4375,26.21875,48.5625,37.46467971801758,10.213642211539018,757.9732721216083
sample_00001,0,1,ff_out_INPUT,0.006005153991281986,6.53125,0.060638427734375,0.2113037109375,0.6494140625,0.4067123532295227,10.057142702277982,1087.6056023585302
sample_00001,0,8,ff_out_INPUT,0.03798888623714447,13.171875,0.23095703125,0.68017578125,1.9697265625,1.2254513502120972,6.687159113298707,346.72960535033684
sample_00001,0,16,ff_out_INPUT,0.10479331016540527,27.96875,0.6005859375,1.833984375,4.390625,2.9056789875030518,6.370106747057409,266.8943970460547
sample_00001,0,23,ff_out_INPUT,0.16397778689861298,45.46875,1.0390625,3.17578125,8.1328125,5.227329254150391,5.590778091108361,277.2860159117347
sample_00001,0,27,ff_out_INPUT,0.23033680021762848,136.375,1.818359375,6.78125,18.859375,12.079559326171875,7.231151611741559,592.067763164512
sample_00001,0,31,ff_out_INPUT,0.661976158618927,503.0,8.6640625,27.640625,51.3125,38.024051666259766,9.802679657042109,759.8460848664731
sample_00001,4,1,ff_out_INPUT,0.006027773953974247,6.54296875,0.06072998046875,0.211669921875,0.6533203125,0.40792831778526306,10.014947529816048,1085.4683578508286
sample_00001,4,8,ff_out_INPUT,0.037919171154499054,13.0625,0.23046875,0.67724609375,1.9638671875,1.220504641532898,6.651417171501486,344.4826497380773
sample_00001,4,16,ff_out_INPUT,0.10422784090042114,27.859375,0.5966796875,1.822265625,4.359375,2.8900253772735596,6.390680988924603,267.2930004727502
sample_00001,4,23,ff_out_INPUT,0.16373300552368164,47.75,1.0419921875,3.16796875,7.984375,5.213629722595215,5.980430520885567,291.6333022223832
sample_00001,4,27,ff_out_INPUT,0.2260027825832367,121.875,1.791015625,6.47265625,17.5,11.312108993530273,6.964285710306122,539.2632480641296
sample_00001,4,31,ff_out_INPUT,0.6384134888648987,483.75,8.328125,26.5,47.4375,36.15281295776367,10.197628456348326,757.7377371564183
sample_00001,16,1,ff_out_INPUT,0.006062082946300507,6.55078125,0.060943603515625,0.2117919921875,0.6572265625,0.4092792868614197,9.967310398119972,1080.6137926337344
sample_00001,16,8,ff_out_INPUT,0.03793424740433693,12.9765625,0.229736328125,0.673828125,1.9541015625,1.2155309915542603,6.640679626186627,342.0803091433766
